STATION,DATE,TIME,WATER_LEVEL,QUALITY,DATATRANS,COMMENT,
A3N0514 ,19980809,12:00,-27.95,26,7,                                                                                                    ,
A3N0514 ,19991215,12:00,-28.37,26,7,                                                                                                    ,
A3N0514 ,20000215,12:00,-27.62,26,7,                                                                                                    ,
A3N0514 ,20000315,12:00,-27.62,26,7,                                                                                                    ,
A3N0514 ,20000316,12:00,-27.349,26,7,                                                                                                    ,
A3N0514 ,20000502,12:00,-27,26,7,                                                                                                    ,
A3N0514 ,20000615,12:00,-27.3,26,7,                                                                                                    ,
A3N0514 ,20000815,12:00,-26.83,26,7,                                                                                                    ,
A3N0514 ,20000915,12:00,-26.95,26,7,                                                                                                    ,
A3N0514 ,20001015,12:00,-26.83,26,7,                                                                                                    ,
A3N0514 ,20001115,12:00,-26.98,26,7,                                                                                                    ,
A3N0514 ,20001215,12:00,-26.98,26,7,                                                                                                    ,
A3N0514 ,20030115,12:00,-28.8,26,7,                                                                                                    ,
A3N0514 ,20030215,12:00,-28.8,26,7,                                                                                                    ,
A3N0514 ,20030415,12:00,-28.83,26,7,                                                                                                    ,
A3N0514 ,20030515,12:00,-28.83,26,7,                                                                                                    ,
A3N0514 ,20030815,12:00,-28.9,26,7,                                                                                                    ,
A3N0514 ,20031115,12:00,-28.94,26,7,                                                                                                    ,
A3N0514 ,20040115,12:00,-28.96,26,7,09/06/2010- filled with bees, assumed dry. 06/08/2011 till 26/06/2014 - no acces                    
